category,term,notes
قومیتی/نژادی,تجزیه‌طلب,برچسب سیاسی رایج برای بی‌مشروعیت‌سازی خواسته‌های اقوام (کرد/بلوچ/عرب)
قومیتی/نژادی,اشرار,اصطلاح رسانه‌های رسمی برای انگ‌زنی به معترضان بلوچ/کرد
قومیتی/نژادی,وابسته,برچسب رایج برای متهم‌کردن اقوام به وابستگی به بیگانه
قومیتی/نژادی,مزدور,اتهام رایج علیه فعالان قومی
قومیتی/نژادی,نجس,گاهی به‌صورت توهین قومی/مذهبی به‌کار می‌رود
قومیتی/نژادی,الدنگ,توهین عامیانه که گاه با پسوند قومیتی همراه می‌شود
قومیتی/نژادی,کثیف,صفت تحقیرآمیز رایج در گفتمان قوم‌ستیزانه
قومیتی/نژادی,قاچاقی,برچسب غیرانسانی‌ساز رایج علیه مهاجران افغان
قومیتی/نژادی,بیگانه,چارچوب طردکننده رایج علیه اقلیت‌های قومی
قومیتی/نژادی,اجنبی,مشابه «بیگانه»؛ چارچوب طردکننده
قومیتی/نژادی,عقب‌مانده,توهین قومیتی/فرهنگی رایج
قومیتی/نژادی,وحشی,کلیشه تحقیرآمیز قومیتی
قومیتی/نژادی,یاغی,برچسب امنیتی-قومیتی برای بی‌مشروعیت‌سازی
قومیتی/نژادی,خرابکار,اتهام امنیتی رایج علیه اقوام معترض
قومیتی/نژادی,اراذل,همراه «اشرار» در ادبیات رسمی برای انگ‌زنی
جنسیتی,ضعیفه,واژه تحقیرآمیز رایج برای زنان
جنسیتی,فاحشه,توهین جنسیتی صریح
جنسیتی,هرزه,توهین جنسیتی رایج
جنسیتی,جنده,توهین جنسیتی رکیک و رایج در فضای مجازی
جنسیتی,بی‌ناموس,توهین جنسیتی/خانوادگی شدید
جنسیتی,زن‌ذلیل,کلیشه تحقیرآمیز جنسیتی (علیه مردان)
جنسیتی,بی‌غیرت,توهین جنسیتی رایج
جنسیتی,بدحجاب,برچسب قضاوتی رایج علیه زنان
جنسیتی,بی‌حجاب,برچسب قضاوتی رایج علیه زنان
جنسیتی,زن‌ستیز,برچسب توصیفی برای گفتمان ضدزن (نگه‌داشته شد چون خودِ پدیده را نشانه می‌رود)
جنسیتی,مردسالار,برچسب توصیفی برای گفتمان جنسیت‌زده
جنسیتی,لوس,صفت کلیشه‌ای تحقیرآمیز رایج علیه زنان
جنسیتی,جیگر,ابژه‌ساز جنسیتی در گفتمان عامیانه
جنسیتی,عجوزه,توهین جنسیتی/سنی
سیاسی/امنیتی,دیکتاتور,برچسب سیاسی باردار
سیاسی/امنیتی,آخوند,کاربرد تحقیرآمیز رایج برای روحانیت
سیاسی/امنیتی,ملا,کاربرد تحقیرآمیز رایج برای روحانیت
سیاسی/امنیتی,خائن,اتهام سیاسی باردار
سیاسی/امنیتی,نفوذی,اتهام امنیتی باردار رایج در دو جبهه سیاسی
سیاسی/امنیتی,عامل,پیشوند اتهامی رایج («عامل بیگانه»)
سیاسی/امنیتی,مزدور,اتهام سیاسی رایج
سیاسی/امنیتی,ضدانقلاب,برچسب رسمی برای بی‌مشروعیت‌سازی مخالفان
سیاسی/امنیتی,منحرف,برچسب رسمی برای بی‌مشروعیت‌سازی مخالفان
سیاسی/امنیتی,اغتشاشگر,اصطلاح رسمی برای انگ‌زنی به معترضان
سیاسی/امنیتی,فتنه‌گر,اصطلاح رسمی برای انگ‌زنی به معترضان/مخالفان
سیاسی/امنیتی,برانداز,اتهام امنیتی باردار
سیاسی/امنیتی,سرکوبگر,برچسب باردار برای نیروهای امنیتی
سیاسی/امنیتی,جنایتکار,اتهام سیاسی باردار (در هر دو جبهه به‌کار می‌رود)
سیاسی/امنیتی,وطن‌فروش,اتهام سیاسی باردار
سیاسی/امنیتی,دشمن,چارچوب دوقطبی‌ساز رایج در گفتمان سیاسی
سیاسی/امنیتی,جاسوس,اتهام امنیتی باردار
سیاسی/امنیتی,صهیونیست,برچسب سیاسی باردار پرکاربرد در اتهام‌زنی
مذهبی,کافر,توهین/برچسب مذهبی صریح
مذهبی,منافق,برچسب مذهبی/سیاسی باردار (هم‌پوشان با اصطلاح گروه سیاسی)
مذهبی,مرتد,اتهام مذهبی شدید با پیامد امنیتی
مذهبی,ملحد,برچسب مذهبی تحقیرآمیز
مذهبی,وهابی,برچسب مذهبی/فرقه‌ای بارداری که در گفتمان ضدسنی به‌کار می‌رود
مذهبی,بی‌دین,توهین مذهبی رایج
مذهبی,ناصبی,توهین فرقه‌ای (ضدسنی) رایج
مذهبی,رافضی,توهین فرقه‌ای (ضدشیعه) رایج
مذهبی,یهودی,در بسیاری کاربردها به‌صورت برچسب توهین‌آمیز/کلیشه‌ای به‌کار می‌رود نه صرفاً هویت دینی خنثی
توهین‌آمیز/رکیک,احمق,توهین عمومی رایج
توهین‌آمیز/رکیک,خرفت,توهین عمومی رایج
توهین‌آمیز/رکیک,کودن,توهین عمومی رایج
توهین‌آمیز/رکیک,بی‌شرف,توهین شدید رایج
توهین‌آمیز/رکیک,عوضی,توهین عمومی رایج
توهین‌آمیز/رکیک,پست,توهین اخلاقی رایج
توهین‌آمیز/رکیک,کثافت,توهین عمومی رایج
توهین‌آمیز/رکیک,لجن,توهین عمومی رایج
توهین‌آمیز/رکیک,حرومزاده,توهین خانوادگی شدید و رایج
توهین‌آمیز/رکیک,بی‌عرضه,توهین توانمندی/شخصیت رایج
توهین‌آمیز/رکیک,الاغ,توهین حیوان‌محور رایج
توهین‌آمیز/رکیک,خر,توهین حیوان‌محور رایج
توهین‌آمیز/رکیک,گاو,توهین حیوان‌محور رایج
